# filename: match_astrom_342.1914_-0.90194_run4198.dat 
# nominal center (used for x,y conversion): 342.191375, -0.901944
# source of interest
#   master_objid: 8647475119823389164
#    master_pos: 342.191518, -0.902013
#   fiducal master location (delta ra, delta dec): 0.318662, -0.248112
# converted source location (delta ra, delta dec): 0.263502, -0.155628
# source location (ra, dec): 342.191493, -0.901988
# source error (raerr, decerr): 0.026420, 0.024358
# observation time (day): 736.900364
# t0 (day): 52197.262300
master_objid,objid,master_ra,master_dec,master_dra,master_ddec,master_raerr,master_decerr,master_radeccov,ra,dec,dra,ddec,raerr,decerr,radeccov,master_rmag,rmag
8647475119823389114,8658188314445283627,342.174181,-0.898642,-38.381397,11.888388,0.013463,0.011281,0.0,342.174192,-0.898632,-38.357891,11.924352,0.052754,0.052887,0.0,20.928848,20.883270
8647475119823389542,8658188314445283630,342.175880,-0.915391,-34.589129,-48.406680,0.009209,0.009084,0.0,342.175911,-0.915387,-34.520664,-48.394584,0.047673,0.048018,0.0,19.864016,19.760963
8647475119823389115,8658188314445283631,342.176523,-0.899565,-33.154759,8.567388,0.017304,0.020488,0.0,342.176523,-0.899597,-33.154759,8.449668,0.069206,0.070329,0.0,21.115498,21.072937
8647475119823390554,8658188314445283635,342.180920,-0.916351,-23.338785,-51.865272,0.064862,0.074217,0.0,342.180950,-0.916133,-23.271972,-51.078204,0.185674,1.162814,0.0,21.145630,21.153755
8647475119823389830,8658188314445283608,342.152829,-0.928132,-86.046407,-94.276116,0.023020,0.022680,0.0,342.152884,-0.928133,-85.923541,-94.277196,0.169478,0.117695,0.0,21.816366,21.439846
8647475119823389476,8658188314445283610,342.153295,-0.917471,-85.006441,-55.896480,0.022664,0.019159,0.0,342.153353,-0.917451,-84.876945,-55.822464,0.133938,0.099926,0.0,21.046814,20.956156
8647475119823389836,8658188314445283611,342.156071,-0.904512,-78.808861,-9.242100,0.054100,0.033987,0.0,342.156145,-0.904505,-78.643112,-9.216396,0.150724,0.157423,0.0,21.738188,21.648802
8647475119823389093,8658188314445283614,342.158593,-0.931736,-73.179359,-107.251164,0.007627,0.007600,0.0,342.158591,-0.931718,-73.182908,-107.185104,0.043114,0.041451,0.0,21.038857,20.881273
8647475119823389504,8658188314445283615,342.160306,-0.872187,-69.355749,107.125704,0.019744,0.014820,0.0,342.160276,-0.872204,-69.423611,107.067240,0.081149,0.058317,0.0,21.257332,21.305334
8647475119823389509,8658188314445283616,342.160590,-0.902476,-68.721104,-1.915020,0.013823,0.014406,0.0,342.160622,-0.902491,-68.649156,-1.969308,0.067804,0.065111,0.0,21.185062,21.144777
8647475119823389162,8658188314445283560,342.193996,-0.933113,5.850702,-112.205340,0.018145,0.019896,0.0,342.194067,-0.933104,6.008794,-112.175640,0.112744,0.074055,0.0,20.350046,20.347769
8647475119823389161,8658188314445283561,342.191501,-0.933810,0.280490,-114.715260,0.015922,0.047212,0.0,342.191528,-0.933789,0.341499,-114.641892,0.061458,0.107262,0.0,19.946115,19.888937
8647475119823389160,8658188314445283562,342.196871,-0.933005,12.268433,-111.819312,0.008591,0.009595,0.0,342.196896,-0.932995,12.325446,-111.782844,0.034801,0.039978,0.0,19.446014,19.440010
8647475119823454253,8658188314445283574,342.224628,-0.918779,74.230374,-60.604128,0.005185,0.005381,0.0,342.224622,-0.918770,74.217895,-60.571872,0.026974,0.031237,0.0,20.578218,20.530649
8647475119823454254,8658188314445283575,342.223876,-0.920263,72.552459,-65.947680,0.019403,0.022262,0.0,342.223873,-0.920266,72.545316,-65.956248,0.095118,0.102740,0.0,21.664267,21.622955
8647475119823389464,8658188314445283603,342.143731,-0.911555,-106.356106,-34.596864,0.015874,0.016628,0.0,342.143741,-0.911555,-106.334229,-34.599384,0.091478,0.081701,0.0,21.888283,21.555319
8647475119823454907,8658188314445283537,342.224525,-0.926883,74.001897,-89.778744,0.005001,0.005067,0.0,342.224541,-0.926888,74.037190,-89.797032,0.029825,0.030893,0.0,20.606199,20.606586
8647475119823389066,8658188314445283546,342.148066,-0.900376,-96.679986,5.646348,0.010371,0.010442,0.0,342.148080,-0.900389,-96.647953,5.598324,0.053663,0.053546,0.0,21.446457,21.151760
8647475119823389073,8658188314445283548,342.149935,-0.924621,-92.506462,-81.636660,0.006048,0.006221,0.0,342.149952,-0.924618,-92.469004,-81.626436,0.029989,0.029007,0.0,20.106478,20.098877
8647475119823389717,8658188314445283551,342.169743,-0.879268,-48.289543,81.636192,0.042675,0.043864,0.0,342.169544,-0.879293,-48.734442,81.543456,0.153296,0.120880,0.0,21.756639,22.289412
8647475119823389717,8658188314445283552,342.169743,-0.879268,-48.289543,81.636192,0.042675,0.043864,0.0,342.169783,-0.879613,-48.200585,80.393040,0.235907,0.271263,0.0,21.756639,22.905569
8647475119823389136,8658188314445283557,342.184319,-0.910165,-15.750075,-29.594016,0.014047,0.014940,0.0,342.184291,-0.910167,-15.813205,-29.601900,0.090692,0.133175,0.0,21.852242,21.679611
8647475119823454563,8658188314445283503,342.231735,-0.892094,90.095703,35.460000,0.001601,0.001629,0.0,342.231735,-0.892100,90.096596,35.440920,0.008379,0.008358,0.0,19.144026,19.122034
8647475119823454568,8658188314445283505,342.234884,-0.876557,97.126336,91.394064,0.001960,0.002008,0.0,342.234879,-0.876566,97.115331,91.362528,0.010641,0.011376,0.0,19.445742,19.441010
8647475119823454489,8658188314445283506,342.240171,-0.903723,108.927078,-6.401880,0.003190,0.003310,0.0,342.240161,-0.903720,108.905447,-6.390900,0.016783,0.018521,0.0,19.994904,20.008905
8647475119823454576,8658188314445283507,342.242992,-0.883469,115.225961,66.511584,0.003829,0.004450,0.0,342.242992,-0.883472,115.224532,66.498840,0.017688,0.020574,0.0,19.520704,19.578993
8647475119823454575,8658188314445283508,342.243698,-0.880890,116.801814,75.794436,0.003297,0.003420,0.0,342.243697,-0.880894,116.798823,75.780180,0.017365,0.018124,0.0,20.130583,20.092880
8647475119823389153,8658188314445283534,342.188077,-0.876874,-7.361439,90.251820,0.006405,0.006367,0.0,342.188107,-0.876883,-7.294113,90.219636,0.034785,0.035455,0.0,20.709280,20.772417
8647475119823389102,8658188314445283478,342.166042,-0.898021,-56.552120,14.124636,0.001489,0.001521,0.0,342.166052,-0.898011,-56.529306,14.159448,0.008172,0.008394,0.0,19.064444,19.055038
8647475119823389156,8658188314445283488,342.189448,-0.929526,-4.301212,-99.293652,0.004365,0.003487,0.0,342.189479,-0.929509,-4.233127,-99.232056,0.020129,0.016989,0.0,18.753565,18.749050
